match_id,ball_id,over,ball,innings,batting_team,bowling_team,batter_id,batter_name,bowler_id,bowler_name,runs_scored,extras,wicket_type,phase,balls_remaining,runs_required,wickets_lost,current_partnership,rr,rrr
M002,B001,1,1,1,Team_X,Team_Y,BAT101,Warner,BOW101,Starc,0,0,,powerplay,119,165,0,0,0.0,8.32
M002,B002,1,2,1,Team_X,Team_Y,BAT101,Warner,BOW101,Starc,4,0,,powerplay,118,161,0,4,2.03,8.19
M002,B003,1,3,1,Team_X,Team_Y,BAT101,Warner,BOW101,Starc,1,0,,powerplay,117,160,0,5,2.56,8.21
M002,B004,1,4,1,Team_X,Team_Y,BAT102,Root,BOW101,Starc,0,0,,powerplay,116,159,0,5,2.59,8.22
M002,B005,1,5,1,Team_X,Team_Y,BAT102,Root,BOW101,Starc,2,0,,powerplay,115,157,0,7,3.65,8.19
M002,B006,1,6,1,Team_X,Team_Y,BAT102,Root,BOW101,Starc,1,0,,powerplay,114,156,0,8,4.21,8.21
M002,B007,2,1,1,Team_X,Team_Y,BAT101,Warner,BOW102,Hazlewood,0,0,,powerplay,113,155,0,8,4.25,8.23
M002,B008,2,2,1,Team_X,Team_Y,BAT101,Warner,BOW102,Hazlewood,6,0,,powerplay,112,149,0,14,7.50,7.98
M002,B009,2,3,1,Team_X,Team_Y,BAT101,Warner,BOW102,Hazlewood,0,0,caught,powerplay,111,149,1,14,7.57,8.06
M002,B010,2,4,1,Team_X,Team_Y,BAT103,Kohli,BOW102,Hazlewood,1,0,,powerplay,110,148,1,15,8.18,8.07
M002,B011,2,5,1,Team_X,Team_Y,BAT102,Root,BOW102,Hazlewood,4,0,,powerplay,109,144,1,19,10.45,7.93
M002,B012,2,6,1,Team_X,Team_Y,BAT102,Root,BOW102,Hazlewood,2,0,,powerplay,108,142,1,21,11.67,7.89
M002,B013,3,1,1,Team_X,Team_Y,BAT102,Root,BOW103,Cummins,0,0,,powerplay,107,140,1,21,11.78,7.85
M002,B014,3,2,1,Team_X,Team_Y,BAT102,Root,BOW103,Cummins,1,0,,powerplay,106,139,1,22,12.45,7.87
M002,B015,3,3,1,Team_X,Team_Y,BAT103,Kohli,BOW103,Cummins,0,0,,powerplay,105,138,1,22,12.57,7.89
M002,B016,3,4,1,Team_X,Team_Y,BAT103,Kohli,BOW103,Cummins,4,0,,powerplay,104,134,1,26,15.00,7.73
M002,B017,3,5,1,Team_X,Team_Y,BAT103,Kohli,BOW103,Cummins,1,0,,powerplay,103,133,1,27,15.73,7.75
